Date,Open,High,Low,Close
2020-05-21,906.16,906.29,893.06,898.39
2020-05-22,901.14,902.23,895.12,900.53
2020-05-25,905.95,911.59,904.94,910.80
2020-05-26,915.76,917.62,911.89,915.67
2020-05-27,917.96,924.65,904.82,924.65
2020-05-28,927.57,928.61,921.50,923.16
2020-05-29,921.55,922.34,911.24,917.17
2020-06-01,916.18,922.44,915.30,919.77
2020-06-02,923.91,931.81,923.62,931.70
2020-06-03,940.29,945.57,939.66,941.72
2020-06-04,941.42,945.07,935.08,936.71
2020-06-05,952.93,958.52,951.89,956.81
2020-06-08,962.90,963.58,954.63,961.68
2020-06-09,956.09,958.98,949.85,954.25
2020-06-10,956.50,956.50,941.76,946.07
2020-06-11,925.76,929.23,906.30,908.66
2020-06-12,929.43,930.38,911.46,920.06
2020-06-15,907.59,931.20,902.25,925.96
2020-06-16,945.71,946.53,931.75,936.00
2020-06-17,939.43,939.43,930.11,930.87
2020-06-18,927.88,937.86,925.87,934.92
2020-06-19,944.68,944.68,931.73,933.38
2020-06-22,933.73,936.10,929.78,935.25
2020-06-23,944.79,944.99,935.20,937.54
2020-06-24,933.26,933.26,913.01,921.79
2020-06-25,917.34,932.63,914.94,932.27
2020-06-26,929.45,929.94,914.24,915.65
2020-06-29,919.91,930.85,916.15,928.60
2020-06-30,925.68,937.45,924.12,934.21
2020-07-02,946.63,954.77,940.19,940.86
2020-07-03,940.10,941.18,936.92,939.35
2020-07-06,949.72,951.25,941.19,942.24
2020-07-07,938.53,945.79,936.89,937.72
2020-07-08,939.83,943.82,933.14,939.19
2020-07-09,939.10,939.75,924.93,935.68
2020-07-10,936.48,945.62,934.58,945.35
2020-07-13,948.96,955.81,940.59,941.72
2020-07-14,941.44,959.52,938.59,958.31
2020-07-15,963.68,971.72,961.44,966.01
2020-07-16,960.16,967.50,959.69,964.87
2020-07-17,968.65,971.47,963.72,970.07
2020-07-20,968.86,974.28,968.86,973.04
2020-07-21,979.39,981.06,970.97,971.50
2020-07-22,971.63,972.44,967.31,970.92
2020-07-23,971.87,971.87,959.12,961.57
2020-07-24,958.75,960.74,955.73,960.06
2020-07-27,963.71,969.26,959.68,969.04
2020-07-28,968.16,970.13,964.22,965.65
2020-07-29,975.63,978.63,969.99,977.15
2020-07-30,966.70,978.31,960.33,978.31
2020-07-31,976.65,976.65,961.44,968.67
2020-08-04,968.45,981.92,968.45,980.88
2020-08-05,985.49,988.90,984.83,988.62
2020-08-06,990.29,994.14,987.90,992.83
2020-08-07,990.97,992.78,987.55,991.10
2020-08-10,994.27,997.28,989.87,995.10
2020-08-11,995.25,999.30,990.48,991.09
2020-08-12,1000.05,1002.65,994.95,995.48
2020-08-13,993.28,994.28,987.44,990.98
2020-08-14,987.05,992.04,986.78,990.34
2020-08-17,996.98,998.88,994.98,998.16
2020-08-18,1000.57,1001.13,993.80,996.50
2020-08-19,995.98,999.19,993.17,994.06
2020-08-20,990.41,996.88,988.97,995.77
2020-08-21,992.32,992.32,988.05,990.99
2020-08-24,998.03,998.79,994.36,997.79
2020-08-25,999.67,999.67,992.81,998.34
2020-08-26,1000.53,1009.52,998.52,1009.30
2020-08-27,1011.02,1012.36,1001.00,1005.78
2020-08-28,1008.50,1008.58,1001.17,1002.28
2020-08-31,1000.59,1000.59,989.39,990.52
2020-09-01,990.83,998.29,986.48,998.29
2020-09-02,1003.28,1004.75,999.81,1002.17
2020-09-03,1001.07,1004.07,983.13,987.07
2020-09-04,988.66,991.00,965.52,972.50
2020-09-08,964.10,972.71,957.82,965.57
2020-09-09,975.37,986.51,975.37,983.24
2020-09-10,985.97,985.97,968.72,970.76
